ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.00,-9999
1,TA,ERA_INTERCEPT,-0.00,-9999
1,TA,ERA_RMSE,6.03,-9999
1,TA,ERA_CORRELATION,0.92,-9999
2,PA,ERA_SLOPE,-9999,-9999
2,PA,ERA_INTERCEPT,-9999,-9999
2,PA,ERA_RMSE,-9999,-9999
2,PA,ERA_CORRELATION,-9999,-9999
3,VPD,ERA_SLOPE,1.02,-9999
3,VPD,ERA_INTERCEPT,-0.07,-9999
3,VPD,ERA_RMSE,4.20,-9999
3,VPD,ERA_CORRELATION,0.72,-9999
4,WS,ERA_SLOPE,0.36,-9999
4,WS,ERA_INTERCEPT,1.01,-9999
4,WS,ERA_RMSE,1.07,-9999
4,WS,ERA_CORRELATION,0.21,-9999
5,P,ERA_SLOPE,0.04,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,0.98,-9999
6,SW_IN,ERA_INTERCEPT,14.09,-9999
6,SW_IN,ERA_RMSE,105.86,-9999
6,SW_IN,ERA_CORRELATION,0.85,-9999
7,LW_IN,ERA_SLOPE,-9999,-9999
7,LW_IN,ERA_INTERCEPT,-9999,-9999
7,LW_IN,ERA_RMSE,-9999,-9999
7,LW_IN,ERA_CORRELATION,-9999,-9999
8,LW_IN_JSB,ERA_SLOPE,1.00,-9999
8,LW_IN_JSB,ERA_INTERCEPT,-0.18,-9999
8,LW_IN_JSB,ERA_RMSE,54.22,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.80,-9999
